Id,Country,Species,Region,TownOrHarbour,Platform,PlatformBoxes,TimeOfYear,Months,Latitude,Longitude
1,Argentina,Right whale,Chubut/ Península Valdés,Puerto Pirámides,Motorized boat and land-based,"Boat, LandBased,",June – December,"June,July,August,September,October,November,December,",-42.5701796,-64.2787391
2,Argentina,Right whale,Chubut/ Península Valdés,Playa El Doradillo and Puerto Madryn,Motorized boat and land-based,"Boat, LandBased,",June – December,"June,July,August,September,October,November,December,",-42.6559866,-64.9863695
3,Argentina,Right whale,Río Negro/ Bahía San Antonio,San Antonio Oeste,Motorized boat,"Boat, ",September-November,"September,October,November,",-40.7333763,-64.9535634
4,Argentina,Humpback whale,Tierra del Fuego/Beagle cannel.,Ushuaia,Motorized boat,"Boat, ",January - April,"January,February,March,April,",-54.8019121,-68.3029511
5,Argentina,Killer whale,Chubut/Península Valdés,Puerto Pirámides,Land-based,"LandBased,",End of February-May & Oct-Nov,"February,March,April,May,October,November,",-42.5701796,-64.2787391
6,Argentina,Killer whale,Chubut/Península Valdés,Puerto Madryn,Land-based,"LandBased,",End of February-May & Oct-Nov,"February,March,April,May,October,November,",-42.7636217,-65.0348311
7,Argentina,Killer whale,Chubut/Península Valdés,Trelew,Land-based,"LandBased,",End of February-May & Oct-Nov,"February,March,April,May,October,November,",-43.2493016,-65.3076351
8,Australia,Humpback whale,,Cape Byron,Unknown,"Boat, SwimWith,LandBased,Aerial,",June – November,"June,July,August,September,October,November,",-28.6334699,153.6382501
9,Australia,Humpback whale,,Coffs Harbour,Unknown,"Boat, SwimWith,LandBased,Aerial,",June – November,"June,July,August,September,October,November,",-30.2962013,153.1138924
10,Australia,Humpback whale,,Jervis Bay,Land-based,"LandBased,",June – December,"June,July,August,September,October,November,December,",-35.0480805,150.7446771
11,Australia,Humpback whale,,Twofold Bay,Unknown,"Boat, SwimWith,LandBased,Aerial,",June – November,"June,July,August,September,October,November,",-37.0843679,149.9276991
12,Australia,Right whale,,Twofold Bay,Unknown,"Boat, SwimWith,LandBased,Aerial,",June – November,"June,July,August,September,October,November,",-37.0843679,149.9276991
13,Australia,Blue whale,,Twofold Bay,Unknown,"Boat, SwimWith,LandBased,Aerial,",June – November,"June,July,August,September,October,November,",-37.0843679,149.9276991
14,Australia,Humpback whale,,Hervey Bay,Unknown,"Boat, SwimWith,LandBased,Aerial,",August – October,"August,September,October,",-25.2881539,152.7676633
15,Australia,Humpback whale,,Moreton Bay,Unknown,"Boat, SwimWith,LandBased,Aerial,",May – November,"May,June,July,August,September,October,November,",-27.0946084,152.9205918
16,Australia,Humpback whale,,The Great Barrier Reef,Unknown,"Boat, ",May – November,"May,June,July,August,September,October,November,",-18.2870668,147.6991918
17,Australia,Right whale,,Head of the Bight (Great Australian Bight Marine Park areas),Land-based,"LandBased,",June – September,"June,July,August,September,",-31.4936111,131.1586111
18,Australia,Right whale,,Encounter Coast (Victor Harbour),Land-based,"LandBased,",June – September,"June,July,August,September,",-35.5502959,138.620909
19,Australia,Blue whale,,Portland,Unknown,"Boat, SwimWith,LandBased,Aerial,",November – May,"January,February,March,April,May,November,December,",-38.3420842,141.6012039
20,Australia,Humpback whale,,Waters off the NW coast north of Cape Leveque,Unknown,"Boat, SwimWith,LandBased,Aerial,",mid-August – mid-September,"August,September,",-16.4,122.9333333
21,Australia,Right whale,,Great Australian Bight,Unknown,"Boat, SwimWith,LandBased,Aerial,",August – November,"August,September,October,November,December,",-32.2038096,128.4849923
22,Australia,Humpback whale,,Great Australian Bight,Unknown,"Boat, SwimWith,LandBased,Aerial,",August – November,"August,September,October,November,December,",-32.2038096,128.4849923
23,Australia,Sperm whale,,Great Australian Bight,Unknown,"Boat, SwimWith,LandBased,Aerial,",August – November,"August,September,October,November,December,",-32.2038096,128.4849923
24,Australia,Humpback whale,,Perth waters,Unknown,"Boat, SwimWith,LandBased,Aerial,",September – November,"September,October,November,",-31.9513993,115.8616783
25,Australia,Right whale,,Perth waters,Unknown,"Boat, SwimWith,LandBased,Aerial,",September – November,"September,October,November,",-31.9513993,115.8616783
26,Australia,Blue whale,,Geographe Bay Area,Unknown,"Boat, LandBased,",March - May,"March,April,May,",-25.274398,133.775136
27,Australia,Right whale,,Logan’s Beach,Unknown,"Boat, SwimWith,LandBased,Aerial,",May – October,"May,June,July,August,September,October,",-38.4033652,142.5108558
28,Australia,Blue whale,,Logan’s Beach,Unknown,"Boat, SwimWith,LandBased,Aerial,",May – October,"May,June,July,August,September,October,",-38.4033652,142.5108558
29,Australia,Humpback whale,,Logan’s Beach,Unknown,"Boat, SwimWith,LandBased,Aerial,",May – October,"May,June,July,August,September,October,",-38.4033652,142.5108558
30,Australia,Humpback whale,,Great Oyster Bay,Unknown,"Boat, SwimWith,LandBased,Aerial,","May – July, September – December","May,June,July,August,September,October,November,December,",-42.19,148.15
31,Australia,Right whale,,Great Oyster Bay,Unknown,"Boat, SwimWith,LandBased,Aerial,","May – July, September – December","May,June,July,August,September,October,November,December,",-42.19,148.15
32,Australia,Right whale,,Adventure Bay,Unknown,"Boat, SwimWith,LandBased,Aerial,","May – July, September – December","May,June,July,August,September,October,November,December,",-43.3566056,147.325247
33,Brazil,Humpback whale,,Praia do Forte,Unknown,"Boat, SwimWith,LandBased,Aerial,",July – November,"July,August,September,October,November,",-12.5745995,-38.0049816
34,Brazil,Humpback whale,,Salvador,Unknown,"Boat, SwimWith,LandBased,Aerial,",July – November,"July,August,September,October,November,",-12.9777334,-38.501648
35,Brazil,Humpback whale,,Morro de São Paulo,Unknown,"Boat, SwimWith,LandBased,Aerial,",July – November,"July,August,September,October,November,",-13.3800917,-38.9124904
36,Brazil,Humpback whale,,Barra Grande,Unknown,"Boat, SwimWith,LandBased,Aerial,",July – November,"July,August,September,October,November,",-13.8939046,-38.9504994
37,Brazil,Humpback whale,,Itacaré,Unknown,"Boat, SwimWith,LandBased,Aerial,",July – November,"July,August,September,October,November,",-14.2801238,-38.9946356
38,Brazil,Humpback whale,,Porto Seguro,Unknown,"Boat, SwimWith,LandBased,Aerial,",July – November,"July,August,September,October,November,",-16.4443537,-39.0653656
39,Brazil,Humpback whale,,Arraial d’Ajuda,Unknown,"Boat, SwimWith,LandBased,Aerial,",July – November,"July,August,September,October,November,",-16.4910066,-39.0740031
40,Brazil,Humpback whale,,Prado,Unknown,"Boat, SwimWith,LandBased,Aerial,",July – November,"July,August,September,October,November,",-14.235004,-51.92528
41,Brazil,Humpback whale,,Cumuruxatiba,Unknown,"Boat, SwimWith,LandBased,Aerial,",July – November,"July,August,September,October,November,",-17.1067377,-39.1813492
42,Brazil,Humpback whale,,Caravelas,Unknown,"Boat, SwimWith,LandBased,Aerial,",July – November,"July,August,September,October,November,",-17.7336523,-39.265271
